"uid","scenario_id","t","routed_agent","route_reason","route_forced","route_invalid","routing_hit","is_decision_maker","valid_actions","executed_action","fact_id","invalid_reason","agent_response","agent_raw","insight","revealed_after"
"0","evacuation_west_city","0","A2","","0","0","1","0","free|reveal","reveal","PF1","","The supply truck headed to the village from East Town was stuck in the tunnel.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""The supply truck headed to the village from East Town was stuck in the tunnel.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the safest route given current conditions? NEXT: Determine the safest route based on current conditions and available resources.","PF1"
"0","evacuation_west_city","1","A3","","0","0","1","0","free|reveal","reveal","PF2","","A massive fire has blocked the supply truck and all other traffic.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""A massive fire has blocked the supply truck and all other traffic.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the safest route given current conditions? NEXT: Determine the safest route based on current conditions and available resources.","PF1|PF2"
"0","evacuation_west_city","2","A4","","0","0","1","0","free|reveal","reveal","PF3","","The walking trails have been closed since last weekend due to fallen trees.","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""The walking trails have been closed since last weekend due to fallen trees.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the safest route given current conditions? NEXT: Determine the safest route based on current conditions and available resources.","PF1|PF2|PF3"
"0","evacuation_west_city","3","A5","","0","0","1","0","free|reveal","reveal","PF4","","A mudslide has occurred, covering the driveway to North Hill.","{""action"": ""reveal"", ""fact_id"": ""PF4"", ""content"": ""A mudslide has occurred, covering the driveway to North Hill.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the safest route given current conditions? NEXT: Determine the safest route based on current conditions and available resources.","PF1|PF2|PF3|PF4"
"0","evacuation_west_city","4","A1","record complete -> last call","1","0","0","1","free|settle","INVALID","","unknown action None","","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""West City"", ""credited_facts"": [""S1"", ""S4""], ""justification_fact_ids"": [""S4""]}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the safest route given current conditions? NEXT: Determine the safest route based on current conditions and available resources.","PF1|PF2|PF3|PF4"
"0","evacuation_west_city","5","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""West City"", ""credited_facts"": [""S1"", ""S4""], ""justification_fact_ids"": [""S4""]}}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""West City"", ""credited_facts"": [""S1"", ""S4""], ""justification_fact_ids"": [""S4""]}}}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the safest route given current conditions? NEXT: Determine the safest route based on current conditions and available resources.","PF1|PF2|PF3|PF4"
"1","evacuation_north_hill","0","A4","","0","0","1","0","free|reveal","reveal","PF3","","The supply truck headed to the village from East Town was stuck in the tunnel.","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""The supply truck headed to the village from East Town was stuck in the tunnel.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the status of the bridge over the river and the tunnel on middle ground? NEXT: Confirm the status of the bridge over the river and the tunnel on middle ground.","PF3"
"1","evacuation_north_hill","1","A2","","0","0","1","0","free|reveal","reveal","PF1","","The river level is just below the bridge to West City.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""The river level is just below the bridge to West City.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the status of the bridge over the river and the tunnel on middle ground? NEXT: Confirm the status of the bridge over the river and the tunnel on middle ground.","PF1|PF3"
"1","evacuation_north_hill","2","A3","","0","0","1","0","free|reveal","reveal","PF2","","The dam upstream will release water in a minute.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""The dam upstream will release water in a minute.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the status of the bridge over the river and the tunnel on middle ground? NEXT: Confirm the status of the bridge over the river and the tunnel on middle ground.","PF1|PF2|PF3"
"1","evacuation_north_hill","3","A5","","0","0","1","0","free|reveal","reveal","PF4","","A massive fire has blocked the supply truck and all other traffic.","{""action"": ""reveal"", ""fact_id"": ""PF4"", ""content"": ""A massive fire has blocked the supply truck and all other traffic.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the status of the bridge over the river and the tunnel on middle ground? NEXT: Confirm the status of the bridge over the river and the tunnel on middle ground.","PF1|PF2|PF3|PF4"
"1","evacuation_north_hill","4","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""North Hill""}, ""credited_facts"": [""S3"", ""S4""], ""justification_fact_ids"": [""PF2"", ""PF4""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""North Hill""}, ""credited_facts"": [""S3"", ""S4""], ""justification_fact_ids"": [""PF2"", ""PF4""]}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3], justification_fact_ids: [S4]. STILL OPEN: answer. What is the status of the bridge over the river and the tunnel on middle ground? NEXT: Confirm the status of the bridge over the river and the tunnel on middle ground.","PF1|PF2|PF3|PF4"
"2","evacuation_east_town","0","A4","","0","0","1","0","free|reveal","reveal","PF3","","The walking trails have been closed since last weekend due to fallen trees.","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""The walking trails have been closed since last weekend due to fallen trees.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer. What is the safest route to evacuate based on current conditions and revealed facts? NEXT: Determine which evacuation route is safest based on current conditions and revealed facts.","PF3"
"2","evacuation_east_town","1","A2","","0","0","1","0","free|reveal","reveal","PF1","","The river level is just below the bridge to West City.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""The river level is just below the bridge to West City.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer. What is the safest route to evacuate based on current conditions and revealed facts? NEXT: Determine which evacuation route is safest based on current conditions and revealed facts.","PF1|PF3"
"2","evacuation_east_town","2","A5","","0","0","1","0","free|reveal","reveal","PF4","","A mudslide has occurred, covering the driveway to North Hill.","{""action"": ""reveal"", ""fact_id"": ""PF4"", ""content"": ""A mudslide has occurred, covering the driveway to North Hill.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer. What is the safest route to evacuate based on current conditions and revealed facts? NEXT: Determine which evacuation route is safest based on current conditions and revealed facts.","PF1|PF3|PF4"
"2","evacuation_east_town","3","A3","","0","0","1","0","free|reveal","reveal","PF2","","The dam upstream will release water in a minute.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""The dam upstream will release water in a minute.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer. What is the safest route to evacuate based on current conditions and revealed facts? NEXT: Determine which evacuation route is safest based on current conditions and revealed facts.","PF1|PF2|PF3|PF4"
"2","evacuation_east_town","4","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""East Town""}, ""credited_facts"": [""S1"", ""S2"", ""S3"", ""PF2""], ""justification_fact_ids"": [""PF2""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""East Town""}, ""credited_facts"": [""S1"", ""S2"", ""S3"", ""PF2""], ""justification_fact_ids"": [""PF2""]}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [S1, S2, S3, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer. What is the safest route to evacuate based on current conditions and revealed facts? NEXT: Determine which evacuation route is safest based on current conditions and revealed facts.","PF1|PF2|PF3|PF4"
"3","toma_butera_2009","0","A2","","0","0","1","0","free|reveal","reveal","PF1","","The guilty person is driving a car. During police inspection, the guilty car owner was discovered to have a 1.5 level of alcohol. The guilty person admits that he was inattentive at the time of the collision.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""The guilty person is driving a car. During police inspection, the guilty car owner was discovered to have a 1.5 level of alcohol. The guilty person admits that he was inattentive at the time of the collision.""}","SETTLED VALUES: answer: UNKNOWN; credited_facts: []; justification_fact_ids: []. STILL OPEN: answer: What is the primary suspect?; credited_facts: What facts support the suspect?; justification_fact_ids: What facts justify the suspect? NEXT: Determine the primary suspect and supporting facts.","PF1"
"3","toma_butera_2009","1","A3","","0","0","1","0","free|reveal","reveal","PF2","","The guilty person is less than 30 years old. Due to inexperience, the guilty person wasn't able to avoid the collision. The guilty person claims that he or she did not see others approaching the intersection.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""The guilty person is less than 30 years old. Due to inexperience, the guilty person wasn't able to avoid the collision. The guilty person claims that he or she did not see others approaching the intersection.""}","SETTLED VALUES: answer: UNKNOWN; credited_facts: []; justification_fact_ids: []. STILL OPEN: answer: What is the primary suspect?; credited_facts: What facts support the suspect?; justification_fact_ids: What facts justify the suspect? NEXT: Determine the primary suspect and supporting facts.","PF1|PF2"
