"uid","scenario_id","t","routed_agent","route_reason","route_forced","route_invalid","routing_hit","is_decision_maker","valid_actions","executed_action","fact_id","invalid_reason","agent_response","agent_raw","insight","revealed_after"
"0","evacuation_west_city","0","A2","","0","0","1","0","free|reveal","reveal","PF1","","The supply truck headed to the village from East Town was stuck in the tunnel.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""The supply truck headed to the village from East Town was stuck in the tunnel.""}","SETTLED VALUES: answer: UNKNOWN; credited_facts: UNKNOWN; justification_fact_ids: UNKNOWN. STILL OPEN: answer, credited_facts, justification_fact_ids. Questions: Can the supply truck from East Town reach the village? Are medical supplies available in West City? Can the school at North Hill accommodate all evacuees? NEXT: Determine which evacuation route is safest based on current conditions and available information.","PF1"
"0","evacuation_west_city","1","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""North Hill""}, ""credited_facts"": [""S3""], ""justification_fact_ids"": [""S3"", ""S4""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""North Hill""}, ""credited_facts"": [""S3""], ""justification_fact_ids"": [""S3"", ""S4""]}}","SETTLED VALUES: answer: UNKNOWN; credited_facts: UNKNOWN; justification_fact_ids: UNKNOWN. STILL OPEN: answer, credited_facts, justification_fact_ids. Questions: Can the supply truck from East Town reach the village? Are medical supplies available in West City? Can the school at North Hill accommodate all evacuees? NEXT: Determine which evacuation route is safest based on current conditions and available information.","PF1"
"1","evacuation_north_hill","0","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""West City""}, ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""West City""}, ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}}","SETTLED VALUES: answer: UNKNOWN; credited_facts: []; justification_fact_ids: []. STILL OPEN: answer: What is the safest evacuation route given the current conditions? NEXT: Determine the safety of each route based on the latest information.",""
"2","evacuation_east_town","0","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""West City""}, ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""West City""}, ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}}","SETTLED VALUES: answer: UNKNOWN; credited_facts: UNKNOWN; justification_fact_ids: UNKNOWN. STILL OPEN: answer, credited_facts, justification_fact_ids. What is the safest evacuation route given current weather and infrastructure conditions? What information is needed to determine the most suitable evacuation center? What factors should be considered to ensure the safety and needs of all villagers are met?",""
"3","toma_butera_2009","0","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Mr. X"", ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Mr. X"", ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}}}","SETTLED VALUES: {'answer': 'UNKNOWN', 'credited_facts': [], 'justification_fact_ids': []}. STILL OPEN: 'answer' - Who is responsible for the traffic accident? 'credited_facts' - Which facts support the prosecution? 'justification_fact_ids' - Which facts justify the prosecution? NEXT: Determine responsibility and supporting evidence for the prosecution.",""
"4","baker_2010","0","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Jones"", ""credited_facts"": [""S3"", ""S6""], ""justification_fact_ids"": [""S3"", ""S6""]}}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Jones"", ""credited_facts"": [""S3"", ""S6""], ""justification_fact_ids"": [""S3"", ""S6""]}}}}","SETTLED VALUES: answer: UNKNOWN; credited_facts: UNKNOWN; justification_fact_ids: UNKNOWN. STILL OPEN: answer, credited_facts, justification_fact_ids. What is the best evidence for each candidate's leadership in academic settings? What is the strongest evidence of each candidate's commitment to diversity and community engagement? NEXT: Evaluate each candidate against the job posting criteria using the provided facts.",""
"5","schulz_hardt_mojzisch_2012","0","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Candidate D""}, ""credited_facts"": [""S4""], ""justification_fact_ids"": [""S4""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Candidate D""}, ""credited_facts"": [""S4""], ""justification_fact_ids"": [""S4""]}}","SETTLED VALUES: answer: UNKNOWN; credited_facts: []; justification_fact_ids: []. STILL OPEN: answer - Who is the best candidate for the long-distance pilot role?; credited_facts - Which candidate's traits align most with the job requirements?; justification_fact_ids - Which candidate's skills are most critical for long-distance flights? NEXT: Determine the most critical skills for the role and evaluate candidates against them.",""
"6","graetz_et_al_1998","0","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Franklin Enterprises""}, ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Franklin Enterprises""}, ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}}","SETTLED VALUES: (d) Y, (e) Y, (f) Y, (g) Y, (h) Y, (i) N, (j) N, (a) N, (c) N. STILL OPEN: (b), (d), (e), (f), (g), (h), (i), (j). What is the status of (b)? What is the status of (d)? What is the status of (e)? What is the status of (f)? What is the status of (g)? What is the status of (h)? What is the status of (i)? What is the status of (j)? NEXT: Determine the status of all unknown criteria and evaluate against the RFP requirements.",""
"7","Stasser_Stewart_1992","0","A1","","0","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Billy Prentice""}, ""credited_facts"": [""S3"", ""S7"", ""S8""], ""justification_fact_ids"": [""S3"", ""S7"", ""S8""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Billy Prentice""}, ""credited_facts"": [""S3"", ""S7"", ""S8""], ""justification_fact_ids"": [""S3"", ""S7"", ""S8""]}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [], justification_fact_ids: []. STILL OPEN: answer - Who committed the murder? (Questions: Who had opportunity? Who had motive? Who had means?). NEXT: Identify the murderer based on alibis, motives, and physical evidence.",""
"8","critical_hospital_transfer","0","A1","","0","0","0","1","free|settle","INVALID","","unknown action None","","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Hospital B"", ""credited_facts"": [""S1""], ""justification_fact_ids"": [""S1""]}}","SETTLED VALUES: {'answer': 'UNKNOWN', 'credited_facts': ['UNKNOWN'], 'justification_fact_ids': ['UNKNOWN']}. STILL OPEN: answer, credited_facts, justification_fact_ids. What is the current status of the secondary road to Hospital C? Can Hospital B confirm they have a doctor on emergency shift? NEXT: Determine which hospital to send the ambulance to based on available information.",""
